URN,Label
urn:cite2:pliny:person:p1,Hannibal
urn:cite2:pliny:person:p2,Marcus Scaurus
urn:cite2:pliny:person:p3,Diedenus/Dipoenus
urn:cite2:pliny:person:p4,Scyllis
urn:cite2:pliny:person:p5,Lucius Cornelius Sulla
urn:cite2:pliny:person:p6,Cyrus
urn:cite2:pliny:person:p7,Marcus Cicero
urn:cite2:pliny:person:p8,Apollo
urn:cite2:pliny:person:p9,Diana
urn:cite2:pliny:person:p10,Hercules
urn:cite2:pliny:person:p11,Minerva
urn:cite2:pliny:person:p12,Melas
urn:cite2:pliny:person:p13,Micciades
urn:cite2:pliny:person:p14,Archermus
urn:cite2:pliny:person:p15,Bupalus
urn:cite2:pliny:person:p16,Athenis
urn:cite2:pliny:person:p17,Hipponax
